,t[s],T[K],P[Pa],H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,1e-07,1199.99999912299,101325.00000000003,0.028511625263645674,5.965637845027456e-12,0.2262685974176242,1.2086184207911662e-12,1.2867549785451933e-12,3.500271976097165e-13,1.9841053091685792e-10,7.745249504678051e-15,0.7452197771115008
1,2e-07,1199.9999982468996,101325.00000000004,0.02851162525125861,1.1853829770360667e-11,0.2262685972160944,4.121962103457118e-12,4.834119526608927e-12,2.4355900438465697e-12,3.9786966411914317e-10,3.102250984737671e-14,0.7452197771115008
2,3e-07,1199.999997374041,101325.00000000001,0.028511625238450432,1.7750888025006787e-11,0.22626859700816207,8.083345447181414e-12,1.0253464752326533e-11,7.357450188639943e-12,5.983716119254942e-10,6.990243393619601e-14,0.7452197771115008
3,4e-07,1199.9999965058648,101325.00000000003,0.02851162522510206,2.3715007096511127e-11,0.22626859679378475,1.2771463593106954e-11,1.725141866538169e-11,1.582671485376698e-11,7.999233104987779e-10,1.2445403468131643e-13,0.7452197771115008
4,5e-07,1199.9999956433896,101325.00000000001,0.028511625211122122,2.978880885295238e-11,0.2262685965728649,1.8023468407386224e-11,2.5604832911691677e-11,2.835956334488803e-11,1.0025407967630638e-09,1.9474718359211744e-13,0.7452197771115008
5,6e-07,1199.9999947873948,101325.00000000003,0.028511625196435596,3.600543487308862e-11,0.22626859634526394,2.374907485938197e-11,3.514272551436727e-11,4.537480705125628e-11,1.20624691322227e-09,2.808532241927538e-13,0.7452197771115008
6,7e-07,1199.999993938547,101325.00000000004,0.028511625180976326,4.239258370274528e-11,0.22626859611081107,2.9895447626318545e-11,4.5734660369332837e-11,6.723666312662907e-11,1.411069809684988e-09,3.8284545197605686e-13,0.7452197771115008
7,8e-07,1199.9999930974386,101325.00000000003,0.028511625164684154,4.8974082289260974e-11,0.2262685958693079,3.6431901086335835e-11,5.7282181430811296e-11,9.427614358114542e-11,1.6170422101906111e-09,5.007995068896931e-13,0.7452197771115008
8,9e-07,1199.9999922646093,101325.00000000001,0.02851162514750331,5.577080055203758e-11,0.22626859562053162,4.334081433045421e-11,6.971246569402756e-11,1.2680453954824138e-10,1.824200862714579e-09,6.34793685559536e-13,0.7452197771115008
9,1e-06,1199.9999914405712,101325.00000000003,0.02851162512938053,6.280166893795234e-11,0.22626859536423782,5.061396149030404e-11,8.297427813466171e-11,1.651199911460581e-10,2.0325860948427414e-09,7.849091683100555e-13,0.7452197771115008
10,1.1e-06,1199.999990625821,101325.00000000003,0.028511625110264085,7.008421598297944e-11,0.226268595100162,5.824789898533224e-11,9.703247081687548e-11,2.0951610140237804e-10,2.2422415582393752e-09,9.5123034908786e-13,0.7452197771115008
11,1.2e-06,1199.9999898208246,101325.00000000001,0.02851162509010421,7.763437911482266e-11,0.22626859482802,6.624171014422215e-11,1.1186372474516575e-10,2.6028718260948687e-10,2.453214133687712e-09,1.133845138763317e-12,0.7452197771115008
12,1.2999999999999998e-06,1199.9999890260544,101325.00000000001,0.028511625068850837,8.546779401091574e-11,0.2262685945475137,7.459749177588205e-11,1.2745464166182852e-10,3.1772916065229165e-10,2.6655530326708994e-09,1.332845163860701e-12,0.7452197771115008
13,1.3999999999999997e-06,1199.9999882419968,101325.00000000004,0.0285116250464529,9.360001609860307e-11,0.22626859425832624,8.332081278377123e-11,1.43800738160338e-10,3.8214026754682565e-10,2.879310531646746e-09,1.5483259369249726e-12,0.7452197771115008
14,1.4999999999999996e-06,1199.9999874691441,101325.00000000004,0.028511625022858585,1.0204643750097101e-10,0.226268593960124,9.241998492373502e-11,1.60905167049134e-10,4.538233348524434e-10,3.0945417002232396e-09,1.7803870601260193e-12,0.7452197771115008
15,1.5999999999999995e-06,1199.9999867079903,101325.00000000003,0.02851162499801565,1.1082216958308888e-10,0.2262685936525572,1.0190497312639435e-10,1.7877713700993025e-10,5.330884869943296e-10,3.3113042638050547e-09,2.0291324516660436e-12,0.7452197771115008
16,1.6999999999999994e-06,1199.9999859590343,101325.00000000003,0.028511624971870955,1.1994224338850718e-10,0.22626859333525984,1.1178691538621843e-10,1.974305871122333e-10,6.202548102431297e-10,3.529658625032903e-09,2.2946705668685515e-12,0.7452197771115008
17,1.7999999999999993e-06,1199.9999852227943,101325.00000000003,0.028511624944369613,1.2942202798006762e-10,0.22626859300784852,1.2207841960400292e-10,2.1688359825921917e-10,7.156508098409014e-10,3.7496680615913156e-09,2.5771146078191456e-12,0.7452197771115008
18,1.8999999999999992e-06,1199.999984499798,101325.00000000003,0.02851162491545539,1.3927704936263327e-10,0.22626859266992363,1.3279266249675754e-10,2.371571709732108e-10,8.19616691478512e-10,3.971398523164487e-09,2.8765827477092915e-12,0.7452197771115008
19,1.999999999999999e-06,1199.9999837905953,101325.00000000004,0.02851162488506994,1.495233526576588e-10,0.22626859232106836,1.4394448018736447e-10,2.58275657107358e-10,9.325034717359026e-10,4.194918814779959e-09,3.1931983224393077e-12,0.7452197771115008
20,2.099999999999999e-06,1199.9999830957486,101325.00000000001,0.0285116248531533,1.6017723758541207e-10,0.22626859196084842,1.555494964002396e-10,2.8026595278691025e-10,1.054674963450706e-09,4.420300600723386e-09,3.5270900630061038e-12,0.7452197771115008
21,2.199999999999999e-06,1199.9999824158383,101325.00000000003,0.02851162481964351,1.7125545441886465e-10,0.22626859158881213,1.6762434317102752e-10,3.031571813122951e-10,1.186508296496695e-09,4.647618440697494e-09,3.878392303478737e-12,0.7452197771115008
22,2.2999999999999987e-06,1199.9999817514795,101325.00000000003,0.02851162478447544,1.827757129172879e-10,0.226268591204488,1.8018702241278122e-10,3.269815253435234e-10,1.3283938938613663e-09,4.8769501414435075e-09,4.2472452262690956e-12,0.7452197771115008
23,2.3999999999999986e-06,1199.9999811033065,101325.00000000003,0.028511624747581763,1.9475622737697537e-10,0.22626859080738562,1.9325630012207358e-10,3.5177288899312134e-10,1.480737380099811e-09,5.1083766432496365e-09,4.633795082769636e-12,0.7452197771115008
24,2.4999999999999985e-06,1199.9999804719753,101325.00000000003,0.02851162470889272,2.072157346515394e-10,0.2262685903969925,2.0685194035383622e-10,3.775676992553703e-10,1.643959907110787e-09,5.341982528809604e-09,5.038194491843116e-12,0.7452197771115008
25,2.5999999999999984e-06,1199.9999798581687,101325.00000000003,0.02851162466833582,2.2017373241906054e-10,0.226268589972777,2.2099460648019669e-10,4.0440424610286224e-10,1.8184990964081055e-09,5.5778555530598915e-09,5.460602657706713e-12,0.7452197771115008
26,2.6999999999999983e-06,1199.99997926259,101325.00000000001,0.028511624625836132,2.336502853527391e-10,0.22626858953418694,2.357057181012498e-10,4.3232267911080877e-10,2.0048100872644306e-09,5.816086840535813e-09,5.901185663964411e-12,0.7452197771115008
27,2.799999999999998e-06,1199.9999786859726,101325.00000000003,0.028511624581315627,2.476662907368795e-10,0.22626858908064693,2.510077206183754e-10,4.613650893805716e-10,2.203365800893795e-09,6.056771349946257e-09,6.360116741984227e-12,0.7452197771115008
28,2.899999999999998e-06,1199.9999781290755,101325.00000000004,0.028511624534693424,2.622433616799105e-10,0.22626858861155955,2.669238614328888e-10,4.915752843197245e-10,2.4146581343938136e-09,6.300007690832729e-09,6.837576530753514e-12,0.7452197771115008
29,2.999999999999998e-06,1199.999977592693,101325.00000000006,0.028511624485885102,2.774040805269838e-10,0.2262685881263017,2.8347855083376827e-10,5.229992144310809e-10,2.639198148097974e-09,6.545898686370496e-09,7.333753412441057e-12,0.7452197771115008
30,3.099999999999998e-06,1199.9999770776492,101325.00000000003,0.028511624434802985,2.931718880170088e-10,0.22626858762422591,3.006971484108634e-10,5.556846889718399e-10,2.8775172975045758e-09,6.7945512093152075e-09,7.848843785684189e-12,0.7452197771115008
31,3.1999999999999977e-06,1199.9999765848027,101325.00000000004,0.028511624381355766,3.095711992317876e-10,0.226268587104658,3.1860615387626494e-10,5.896817477217229e-10,3.1301680181404178e-09,7.046076521181182e-09,8.383052418646034e-12,0.7452197771115008
32,3.2999999999999976e-06,1199.999976115045,101325.00000000004,0.028511624325448605,3.2662735914669445e-10,0.22626858656689722,3.3723311446141924e-10,6.250425035923591e-10,3.397724916809738e-09,7.3005902625236505e-09,8.936592794456038e-12,0.7452197771115008
33,3.3999999999999975e-06,1199.9999756693032,101325.00000000001,0.028511624266982852,3.4436673338718636e-10,0.2262685860102149,3.5660673167206117e-10,6.61821311352289e-10,3.680785384042075e-09,7.558212707838066e-09,9.509687409503368e-12,0.7452197771115008
34,3.4999999999999974e-06,1199.9999752485412,101325.00000000003,0.028511624205856012,3.62816698241158e-10,0.22626858543385317,3.767568347713078e-10,7.000747138320259e-10,3.9799708962675854e-09,7.819068919662774e-09,1.0102568210137852e-11,0.7452197771115008
35,3.5999999999999973e-06,1199.9999748537598,101325.00000000004,0.02851162414196153,3.8200570872690465e-10,0.22626858483702417,3.9771445413581563e-10,7.398615859454932e-10,4.295927688319146e-09,8.083288930561809e-09,1.0715476890392881e-11,0.7452197771115008
36,3.699999999999997e-06,1199.9999744860015,101325.00000000004,0.02851162407518854,4.0196336778138785e-10,0.22626858421890791,4.1951187695008435e-10,7.812431480380619e-10,4.6293278881364705e-09,8.35100805479819e-09,1.1348665339105783e-11,0.7452197771115008
37,3.799999999999997e-06,1199.9999741463496,101325.00000000003,0.028511624005421753,4.227204568964316e-10,0.22626858357865173,4.4218268803395227e-10,8.242831157783878e-10,4.98087049797489e-09,8.622367014832075e-09,1.2002396024658945e-11,0.7452197771115008
38,3.899999999999997e-06,1199.9999738359318,101325.00000000004,0.028511623932541225,4.443090030882033e-10,0.22626858291536858,4.657618297385468e-10,8.690477533873831e-10,5.351282395188209e-09,8.897512209970747e-09,1.267694239739348e-11,0.7452197771115008
39,3.999999999999997e-06,1199.9999735559204,101325.0,0.028511623856422214,4.667623134118721e-10,0.2262685822281359,4.902856562290699e-10,9.156060489714069e-10,5.741319648199483e-09,9.176595888299756e-09,1.3372589401343463e-11,0.7452197771115008
40,4.099999999999997e-06,1199.9999733075356,101325.00000000003,0.028511623776934975,4.901150359299701e-10,0.22626858151599416,5.157919832646259e-10,9.640297483404293e-10,6.15176841792483e-09,9.459776397750618e-09,1.408963383198987e-11,0.7452197771115008
41,4.199999999999997e-06,1199.999973092045,101325.00000000006,0.028511623693944586,5.144031922221509e-10,0.2262685807779456,5.42320143590224e-10,1.014393515788414e-09,6.583446494002195e-09,9.747218398795248e-09,1.482838491860253e-11,0.7452197771115008
42,4.299999999999997e-06,1199.9999729107678,101325.00000000003,0.028511623607310736,5.396642479828763e-10,0.22626858001295252,5.699110488288358e-10,1.0667750098067741e-09,7.037204320048656e-09,1.0039093142402749e-08,1.5589164740856516e-11,0.7452197771115008
43,4.399999999999997e-06,1199.999972765075,101325.00000000003,0.028511623516887526,5.659371568478032e-10,0.22626857921993576,5.986072446297375e-10,1.1212549991164472e-09,7.51392641456422e-09,1.0335578719033777e-08,1.6372308769918465e-11,0.7452197771115008
44,4.499999999999997e-06,1199.9999726563938,101325.00000000003,0.02851162342252318,5.932624417984131e-10,0.22626857839777265,6.284529887169956e-10,1.1779174971743329e-09,8.014532789448022e-09,1.0636860391113426e-08,1.7178166441754314e-11,0.7452197771115008
45,4.599999999999997e-06,1199.9999725862072,101325.00000000004,0.028511623324059883,6.21682234029866e-10,0.22626857754529586,6.594942994540748e-10,1.236849861251338e-09,8.53998014483759e-09,1.0943130799299442e-08,1.8007101613258805e-11,0.7452197771115008
46,4.6999999999999965e-06,1199.9999725560588,101325.00000000004,0.028511623221333444,6.512403670933727e-10,0.22626857666129102,6.917790507192512e-10,1.2981429722360285e-09,9.091263636743134e-09,1.1254590346405218e-08,1.885949327548297e-11,0.7452197771115008
47,4.799999999999996e-06,1199.9999725675532,101325.00000000003,0.02851162311417314,6.819824223667062e-10,0.22626857574449524,7.25357026030794e-10,1.3618913338742822e-09,9.669418140233482e-09,1.1571447434782166e-08,1.9735736037395354e-11,0.7452197771115008
48,4.899999999999996e-06,1199.99997262236,101325.00000000003,0.028511623002401384,7.13955811064834e-10,0.22626857479359505,7.602800082697344e-10,1.4281932535656154e-09,1.0275520014057608e-08,1.1893918812760855e-08,2.063624082864622e-11,0.7452197771115008
49,4.999999999999996e-06,1199.999972722215,101325.00000000004,0.02851162288583348,7.472098438953977e-10,0.22626857380722432,7.966018576000702e-10,1.4971509807151826e-09,1.0910688787805256e-08,1.2222229918178003e-08,2.1561435554111305e-11,0.7452197771115008
