,t[s],T[K],P[Pa],H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,1e-07,1159.9999996090949,101325.00000000003,0.02656883795381939,2.6057058691606278e-12,0.22672109060232287,4.500989631086072e-13,4.791212515542168e-13,1.2015979570249826e-13,8.661350067975613e-11,2.30317214336118e-15,0.7467100713535868
1,2e-07,1159.9999992189557,101325.00000000004,0.026568837948445875,5.173760270468404e-12,0.226721090514841,1.55635955519518e-12,1.8196538956947576e-12,8.212107942165723e-13,1.7374607583483993e-10,9.225985193840325e-15,0.7467100713535868
2,3e-07,1159.9999988304023,101325.00000000001,0.02656883794293262,7.733522681949261e-12,0.22672109042487798,3.074807961487358e-12,3.895409008737911e-12,2.484742650238626e-12,2.6139329571748334e-10,2.0794914831140263e-14,0.7467100713535868
3,4e-07,1159.9999984439728,101325.00000000003,0.02656883793723824,1.030562264674564e-11,0.2267210903324318,4.8768924188025395e-12,6.604964919428965e-12,5.363048684751555e-12,3.495555428524868e-10,3.7035507460192997e-14,0.7467100713535868
4,5e-07,1159.9999980600385,101325.00000000004,0.026568837931331676,1.2904973512238747e-11,0.22672109023748285,6.895345828720173e-12,9.86839852621291e-12,9.634985882920545e-12,4.3823689269648175e-10,5.797323340013336e-14,0.7467100713535868
5,6e-07,1159.9999976788877,101325.00000000001,0.02656883792518738,1.5543329771805266e-11,0.22672109013999883,9.091630412811773e-12,1.3621350544857168e-11,1.54427869826261e-11,5.274440841163376e-10,8.363384625998982e-14,0.7467100713535868
6,7e-07,1159.9999973007652,101325.00000000004,0.026568837918783013,1.8230531706173903e-11,0.22672109003993743,1.1442814179470018e-11,1.7811940772802563e-11,2.290725120645807e-11,6.171859376946734e-10,1.1404349691337076e-13,0.7467100713535868
7,8e-07,1159.9999969258834,101325.00000000004,0.026568837912098808,2.097483654688844e-11,0.22672108993724724,1.3934972250405109e-11,2.239894990547889e-11,3.2135706140616886e-11,7.074731961791511e-10,1.4922886549093274e-13,0.7467100713535868
8,9e-07,1159.9999965544387,101325.00000000001,0.026568837905116507,2.3783526444507976e-11,0.22672108983186948,1.6559529165524432e-11,2.734976527286715e-11,4.322695436908866e-11,7.983181321153593e-10,1.8921722626090297e-13,0.7467100713535868
9,1e-06,1159.999996186611,101325.00000000001,0.026568837897819192,2.6662981276668395e-11,0.22672108972373817,1.9310978446333574e-11,3.2638751380679426e-11,5.627461993235169e-11,8.897345169039139e-10,2.340365273048804e-13,0.7467100713535868
10,1.1e-06,1159.9999958225726,101325.00000000003,0.02656883789019077,2.9618995359857667e-11,0.2267210896127818,2.2185475914661232e-11,3.8245820194938095e-11,7.136948750212616e-11,9.817372832309297e-10,2.83715470653732e-13,0.7467100713535868
11,1.2e-06,1159.999995462493,101325.00000000001,0.026568837882215573,3.265698249267294e-11,0.22672108949892364,2.518057325931849e-11,4.4155547153866387e-11,8.860039945916422e-11,1.0743424708601318e-09,3.382835755293164e-13,0.7467100713535868
12,1.2999999999999998e-06,1159.9999951065408,101325.00000000001,0.026568837873878207,3.5782064428574684e-11,0.22672108938208185,2.8295143542924347e-11,5.035652093870464e-11,1.0805485056024467e-10,1.1675671791584293e-09,3.9777123194771143e-13,0.7467100713535868
13,1.3999999999999997e-06,1159.9999947548831,101325.00000000001,0.026568837865163487,3.899910123890756e-11,0.22672108926216972,3.15291076765284e-11,5.6840712084682975e-11,1.2981977227328866e-10,1.2614295138962473e-09,4.622097546775988e-13,0.7467100713535868
14,1.4999999999999996e-06,1159.9999944076858,101325.00000000003,0.026568837856056342,4.231275612776649e-11,0.2267210891390961,3.488307523689399e-11,6.360278523612363e-11,1.5398243165594697e-10,1.3559485226793659e-09,5.316314470035988e-13,0.7467100713535868
15,1.5999999999999995e-06,1159.999994065115,101325.00000000003,0.026568837846541803,4.572749807755068e-11,0.22672108901276528,3.835836295356655e-11,7.06400255214195e-11,1.8063046616430694e-10,1.4511442102382344e-09,6.06069613692187e-13,0.7467100713535868
16,1.6999999999999994e-06,1159.9999937273374,101325.00000000001,0.0265688378366049,4.9247658095785314e-11,0.22672108888307702,4.1956716723362066e-11,7.795165338177457e-11,2.0985269212783097e-10,1.5470375078255636e-09,6.855586339300794e-13,0.7467100713535868
17,1.7999999999999993e-06,1159.9999933945232,101325.00000000003,0.02656883782623033,5.2877609868162454e-11,0.22672108874992736,4.568029741008845e-11,8.553846700882472e-11,2.417394806288027e-10,1.6436501443584672e-09,7.701340215724872e-13,0.7467100713535868
18,1.8999999999999992e-06,1159.9999930668464,101325.00000000003,0.026568837815402643,5.662166485809363e-11,0.226721088613208,4.953172995787982e-11,9.340297705396445e-11,2.763825864173041e-10,1.7410047580365536e-09,8.598324143442106e-13,0.7467100713535868
19,1.999999999999999e-06,1159.9999927444821,101325.00000000003,0.02656883780410615,6.048410605812322e-11,0.2267210884728058,5.3513865206041035e-11,1.0154852868176385e-10,3.1387622674732505e-10,1.8391249714962818e-09,9.546917164919555e-13,0.7467100713535868
20,2.099999999999999e-06,1159.9999924276115,101325.00000000003,0.026568837792324787,6.446928946476897e-11,0.22672108832860408,5.762989295572069e-11,1.0997962255374975e-10,3.54316719999555e-10,1.938035183839933e-09,1.0547510734656441e-12,0.7467100713535868
21,2.199999999999999e-06,1159.9999921164197,101325.00000000003,0.02656883778004211,6.858163233091134e-11,0.22672108818048206,6.188327803828572e-11,1.187016172541471e-10,3.9780291479699423e-10,2.037760614642971e-09,1.1600509521851121e-12,0.7467100713535868
22,2.2999999999999987e-06,1159.9999918110968,101325.00000000003,0.026568837767241258,7.2825614355666e-11,0.2267210880283144,6.627778316945058e-11,1.2772086157453207e-10,4.4443615376061337e-10,2.138327467240545e-09,1.2706331595770806e-12,0.7467100713535868
23,2.3999999999999986e-06,1159.9999915118383,101325.00000000003,0.026568837753904912,7.72058160206979e-11,0.22672108787197157,7.081740935331654e-11,1.3704438054670204e-10,4.943206542350705e-10,2.2397628056822306e-09,1.386540905504174e-12,0.7467100713535868
24,2.4999999999999985e-06,1159.9999912188446,101325.00000000003,0.026568837740015307,8.172689317837371e-11,0.22672108771131935,7.550641063814234e-11,1.466800134893215e-10,5.475635260645651e-10,2.3420946715149933e-09,1.5078188377046257e-12,0.7467100713535868
25,2.5999999999999984e-06,1159.9999909323224,101325.00000000003,0.026568837725554184,8.639360650313492e-11,0.2267210875462191,8.034924521022906e-11,1.566361501378021e-10,6.042751254858404e-10,2.445352039366696e-09,1.634513120149796e-12,0.7467100713535868
26,2.6999999999999983e-06,1159.999990652484,101325.00000000004,0.026568837710502752,9.121083160326119e-11,0.2267210873765274,8.535058814349982e-11,1.6692179190702568e-10,6.64569075760668e-10,2.5495648800956476e-09,1.7666714452801636e-12,0.7467100713535868
27,2.799999999999998e-06,1159.9999903795485,101325.00000000003,0.026568837694841665,9.618357342568755e-11,0.22672108720209597,9.051532002499308e-11,1.775464832579203e-10,7.285624463681948e-10,2.6547641748004403e-09,1.904343089515921e-12,0.7467100713535868
28,2.899999999999998e-06,1159.9999901137414,101325.00000000003,0.026568837678551012,1.0131696626099235e-10,0.2267210870227718,9.584852463046442e-11,1.8852026004734312e-10,7.963760556620057e-10,2.76098189021831e-09,2.0475790604473613e-12,0.7467100713535868
29,2.999999999999998e-06,1159.9999898552953,101325.00000000001,0.02656883766161023,1.0661630725707348e-10,0.22672108683839673,1.0135546055007207e-10,1.998535766289128e-10,8.681343857858663e-10,2.868251085537632e-09,2.196431966295609e-12,0.7467100713535868
30,3.099999999999998e-06,1159.99998960445,101325.00000000001,0.026568837643998137,1.1208704297834841e-10,0.22672108664880733,1.0704159996976755e-10,2.1155740079569382e-10,9.439658722134549e-10,2.976605897557635e-09,2.350956224522215e-12,0.7467100713535868
31,3.1999999999999977e-06,1159.9999893614531,101325.00000000004,0.0265688376256929,1.177347720894051e-10,0.22672108645383493,1.1291264915489701e-10,2.236432791145691e-10,1.0240030166979643e-09,3.086081587494591e-09,2.511208133089291e-12,0.7467100713535868
32,3.2999999999999976e-06,1159.99998912656,101325.00000000004,0.026568837606671943,1.2356529856969199e-10,0.2267210862533054,1.1897444049833525e-10,2.3612292373595145e-10,1.1083825546581777e-09,3.1967145347702393e-09,2.6772457580011037e-12,0.7467100713535868
33,3.3999999999999975e-06,1159.9999889000346,101325.00000000003,0.026568837586912007,1.2958458020599696e-10,0.22672108604703872,1.252330912914762e-10,2.4900880619819345e-10,1.197245543852304e-09,3.3085423452196986e-09,2.8491292033935932e-12,0.7467100713535868
34,3.4999999999999974e-06,1159.9999886821486,101325.00000000003,0.026568837566389086,1.357987715667135e-10,0.2267210858348492,1.3169491436611008e-10,2.623137915452337e-10,1.290737554880683e-09,3.421603827873966e-09,3.0269205592952617e-12,0.7467100713535868
35,3.5999999999999973e-06,1159.999988473183,101325.00000000003,0.026568837545078376,1.422142395086793e-10,0.2267210856165453,1.3836640127943582e-10,2.7605105627668755e-10,1.3890088297238843e-09,3.535939014467395e-09,3.210683939666986e-12,0.7467100713535868
36,3.699999999999997e-06,1159.9999882734278,101325.00000000004,0.026568837522954324,1.4883751340824812e-10,0.22672108539192862,1.4525433841487016e-10,2.902345608158659e-10,1.4922144768692031e-09,3.65158934976721e-09,3.4004856955602823e-12,0.7467100713535868
