,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-1.1912390632036706e-05,5.7782263069233366e-06,-0.0001930924475258129,1.8702301473492015e-06,2.092721332990409e-06,7.335528234556883e-07,0.00019451978986410236,1.031768302862224e-08,0.0
1,-1.2170844764891064e-05,5.7320519907346455e-06,-0.0001986603928762161,3.000322309072228e-06,3.866930456067907e-06,2.5364910028269447e-06,0.00019567474914404875,2.069273835667265e-08,0.0
2,-1.2535234036869651e-05,5.739411717672757e-06,-0.00020421035405218595,3.7480847677018634e-06,5.3898917933171715e-06,5.01119608046669e-06,0.0001968258791168917,3.112461300538358e-08,0.0
3,-1.2977870315268554e-05,5.785052245374097e-06,-0.000209787063949923,4.29446206048832e-06,6.7131031438093444e-06,7.948159700016831e-06,0.00019798254378721695,4.161332828604783e-08,0.0
4,-1.3483141993512296e-05,5.860149060064716e-06,-0.00021542286049154382,4.728443980533409e-06,7.875985366702707e-06,1.1237752725907754e-05,0.00019915151200624128,5.215934560627367e-08,0.0
5,-1.4041328241302294e-05,5.959038813118264e-06,-0.0002211432319490215,5.097409026346754e-06,8.910062598762927e-06,1.48171678848259e-05,0.00020033811842381185,6.27634434580593e-08,0.0
6,-1.4646076474821964e-05,6.077873036396362e-06,-0.00022696951581727639,5.427370591818556e-06,9.841061917335001e-06,1.864903157246692e-05,0.00020154682852607895,7.342664800254279e-08,0.0
7,-1.529312282354614e-05,6.213955754371293e-06,-0.00023291961690707832,5.732792047562558e-06,1.0689803129446133e-05,2.2710649607430965e-05,0.00020278138897787833,8.415021393517084e-08,0.0
8,-1.5979539098128552e-05,6.365325438551031e-06,-0.00023900932566048224,6.02204789143787e-06,1.1473406141661067e-05,2.6988046070520472e-05,0.00020404510363876505,9.493557767527988e-08,0.0
9,-1.670324871732769e-05,6.5305079975550375e-06,-0.0002452524760274049,6.300424200538322e-06,1.2205894833106658e-05,3.147224674309432e-05,0.00020534086661683307,1.0578435360517373e-07,0.0
10,-1.7462710344920363e-05,6.708336961367183e-06,-0.0002516616322229093,6.572069294749948e-06,1.2898945390714661e-05,3.6156986555909215e-05,0.0002066713060713157,1.1669829377292898e-07,0.0
11,-1.825683231738528e-05,6.897896688948133e-06,-0.00025824853334145746,6.840280058424649e-06,1.3562356971235906e-05,4.103827536707521e-05,0.00020803887729178418,1.2767928137464138e-07,0.0
12,-1.908493185662291e-05,7.0984959311370885e-06,-0.00026502428520061734,7.1074683592636875e-06,1.4204344022430274e-05,4.6114276556174384e-05,0.00020944590286318645,1.387293250483379e-07,0.0
13,-1.9946658771080995e-05,7.309627607152128e-06,-0.0002719994261802841,7.3753869600358226e-06,1.48317721330338e-05,5.138486124387779e-05,0.00021089458645478026,1.4985055248527068e-07,0.0
14,-2.084190117700943e-05,7.530917237788373e-06,-0.0002791840677670267,7.645498980100422e-06,1.5450442364210413e-05,5.685102291077483e-05,0.00021238704224848523,1.610452026769152e-07,0.0
15,-2.177078579032987e-05,7.762122910644891e-06,-0.0002865879002904901,7.918925899669358e-06,1.6065117978070736e-05,6.251490752684407e-05,0.00021392529613786383,1.723156277269996e-07,0.0
16,-2.2733598564620304e-05,8.003091756962227e-06,-0.00029422031488867437,8.196685131511907e-06,1.6679800510513573e-05,6.837936050214839e-05,0.0002155113112630218,1.8366428913676195e-07,0.0
17,-2.37307671425556e-05,8.253738837125912e-06,-0.0003020907952350711,8.479751636476985e-06,1.7298004591012252e-05,7.444790354393302e-05,0.0002171470700266839,1.9509374239465936e-07,0.0
18,-2.4762875449283888e-05,8.514061602990887e-06,-0.0003102086900726437,8.768933534985995e-06,1.7922622569558598e-05,8.072481469949384e-05,0.00021883452646460834,2.0660665028988384e-07,0.0
19,-2.583058352568304e-05,8.784097509001605e-06,-0.00031858328639953684,9.064959748264713e-06,1.855624514812893e-05,8.721474017186708e-05,0.00022057562155622623,2.1820579173130702e-07,0.0
20,-2.6934661575696088e-05,9.063934104182448e-06,-0.00032722402950744676,9.368512529901374e-06,1.9201142510454133e-05,9.39228785913482e-05,0.0002223723293102627,2.2989403699397154e-07,0.0
21,-2.8075965858406212e-05,9.353697780636528e-06,-0.00033614049750779924,9.680210023731324e-06,1.9859352960133354e-05,0.00010085487682240515,0.0002242266514264117,2.4167435288746154e-07,0.0
22,-2.9255448391160353e-05,9.653558543849557e-06,-0.00034534240391058754,1.0000618878035678e-05,2.053264003249847e-05,0.00010801686721045929,0.0002261406178147068,2.535498221981171e-07,0.0
23,-3.0474132945448094e-05,9.963715391879676e-06,-0.00035483968075321673,1.033027035574898e-05,2.1222629855853998e-05,0.0001154153704549278,0.00022811630401128535,2.655236289690165e-07,0.0
24,-3.1733123513750825e-05,1.0284402284643983e-05,-0.0003646424234967492,1.066966300512927e-05,2.1930743362071187e-05,0.00012305731965761931,0.000230155819628651,2.7759907238520175e-07,0.0
25,-3.303358435128916e-05,1.0615876152976456e-05,-0.0003747609548881527,1.101927184040106e-05,2.2658309338336747e-05,0.0001309499806176492,0.00023226132172867023,2.897795614081821e-07,0.0
26,-3.437674486452566e-05,1.095841865215046e-05,-0.00038520584688597103,1.1379559634756755e-05,2.3406552827211173e-05,0.00013910097261026665,0.00023443501940381882,3.020686222927474e-07,0.0
27,-3.576389466564337e-05,1.1312332705123447e-05,-0.00039598795189532254,1.1750983433240566e-05,2.4176630360100374e-05,0.00014751824984924372,0.00023667918031305147,3.1446990020632456e-07,0.0
28,-3.7196380987777704e-05,1.1677941209785257e-05,-0.0004071184027787246,1.2133979906948321e-05,2.4969647108645068e-05,0.00015621009769874956,0.00023899613068621638,3.2698715615765056e-07,0.0
29,-3.8675600461260844e-05,1.2055580637796193e-05,-0.00041860868552592547,1.2529014069681248e-05,2.5786710047664945e-05,0.00016518508643018903,0.00024138827052199805,3.396242798568492e-07,0.0
30,-4.0203010158199356e-05,1.24456074749735e-05,-0.0004304706101088768,1.2936540769341237e-05,2.6628884820604684e-05,0.00017445213442660008,0.00024385806748780883,3.5238528774786614e-07,0.0
31,-4.178013406172465e-05,1.2848401272582597e-05,-0.00044271631630039804,1.335699869513751e-05,2.7497176368740218e-05,0.00018402054156609288,0.0002464080581310483,3.652743285212658e-07,0.0
32,-4.340852609272622e-05,1.3264342525634402e-05,-0.0004553583890643048,1.3790879538728785e-05,2.8392712090474882e-05,0.00019389981328650282,0.0002490408720332011,3.782956824890185e-07,0.0
33,-4.5089823907825945e-05,1.369384309028827e-05,-0.0004684097468659001,1.4238645953322275e-05,2.9316500196418243e-05,0.000204099919343889,0.0002517592084155877,3.9145377422053414e-07,0.0
34,-4.682571729615145e-05,1.4137327446674925e-05,-0.00048188373485693985,1.4700779395124474e-05,3.0269588313732648e-05,0.00021463114818050838,0.0002545658556472182,4.047531698326352e-07,0.0
35,-4.8617941680361556e-05,1.4595228390121705e-05,-0.0004957941585001298,1.5177791284857705e-05,3.125310412604856e-05,0.00022550407952058986,0.00025746369827959066,4.1819857928291446e-07,0.0
36,-5.046831905714918e-05,1.506801090107168e-05,-0.000510155175649004,1.5670165395349842e-05,3.2268055512787946e-05,0.00023672977358674794,0.00026045569443134716,4.317948788486569e-07,0.0
37,-5.237871482404798e-05,1.555614523919547e-05,-0.0005249814654013678,1.617842654618665e-05,3.331557048424405e-05,0.00024831957971155,0.0002635449111536097,4.455470906299494e-07,0.0
38,-5.43510636055197e-05,1.6060122350960166e-05,-0.0005402881489117247,1.6703102483365817e-05,3.4396765302535754e-05,0.00026028525414630867,0.00026673450783042157,4.594604036524684e-07,0.0
39,-5.638736690997013e-05,1.658045228390737e-05,-0.00055609080253881,1.724472873716966e-05,3.55127593561878e-05,0.0002726389499687259,0.0002700277389210594,4.7354018173003113e-07,0.0
40,-5.848969018951348e-05,1.7117660901354716e-05,-0.0005724055154646659,1.7803858385793806e-05,3.666471667746125e-05,0.00028539321170631605,0.00027342796602860425,4.877919546491501e-07,0.0
41,-6.066016726647284e-05,1.767229209643793e-05,-0.0005892488896674712,1.8381062296140308e-05,3.785382825441549e-05,0.0002985609949771147,0.0002769386578738512,5.022214359841956e-07,0.0
42,-6.290100081901376e-05,1.8244907392190093e-05,-0.0006066380603224788,1.897693108103181e-05,3.9081321380608894e-05,0.0003121556722008833,0.0002805633945611521,5.168345256264953e-07,0.0
43,-6.521446294430208e-05,1.8836086433007138e-05,-0.0006245906891373089,1.959206837049558e-05,4.034845660231942e-05,0.0003261910371847697,0.00028430586618107006,5.316373099492146e-07,0.0
44,-6.760290541585352e-05,1.9446429362108272e-05,-0.0006431250516835043,2.0227103975965554e-05,4.165653303805921e-05,0.0003406813635733261,0.00028816989107068014,5.466360792186672e-07,0.0
45,-7.006875092531785e-05,2.007655401514936e-05,-0.0006622599874700799,2.0882687801396564e-05,4.3006896148984184e-05,0.0003556413577416914,0.0002921594053654267,5.618373227494892e-07,0.0
46,-7.261449952112498e-05,2.072709777329758e-05,-0.0006820149433108329,2.1559492321337098e-05,4.440093695362207e-05,0.00037108619598070634,0.00029627847206423284,5.772477387618971e-07,0.0
47,-7.52427430037972e-05,2.139872300814256e-05,-0.0007024100289601628,2.225820470261132e-05,4.584007187788764e-05,0.00038703160546891174,0.00030053129265558134,5.92874250825565e-07,0.0
48,-7.795614700829018e-05,2.2092109251841926e-05,-0.0007234659812725022,2.2979544122296483e-05,4.732578427940814e-05,0.0004034937670064567,0.00030492219962389956,6.087239968895844e-07,0.0
49,-8.075746818544058e-05,2.2807960068397897e-05,-0.0007452042187807834,2.3724248206453656e-05,4.8859595284457064e-05,0.0004204894112073717,0.0003094556678496438,6.248043498999896e-07,0.0
50,-8.36495564416137e-05,2.3547003737926554e-05,-0.0007676468555192836,2.449307176886212e-05,5.044306376146431e-05,0.00043803583227563445,0.00031413631749082206,6.41122926187711e-07,0.0
