,t[s],T[K],P[Pa],H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,1e-07,1129.9999997739235,101325.0,0.031273621622099936,1.5694573448541528e-12,0.22562530315193755,2.1961947176677076e-13,2.362633177691242e-13,6.061256961090965e-14,5.210737024544686e-11,1.1958419964404817e-15,0.743101075171768
1,2e-07,1129.9999995485648,101325.0,0.03127362161887718,3.118621296456261e-12,0.22562530309961198,7.493697739365848e-13,8.966714361741045e-13,4.211921388649326e-13,1.0455216544451978e-10,4.790790418775779e-15,0.743101075171768
2,3e-07,1129.9999993243205,101325.0,0.0312736216155835,4.662249380585022e-12,0.22562530304598502,1.4663563856718337e-12,1.9186657147870416e-12,1.2736548264863053e-12,1.5733169447380318e-10,1.0800545070448527e-14,0.743101075171768
3,4e-07,1129.9999991014379,101325.00000000001,0.03127362161219906,6.210276548702996e-12,0.225625302991057,2.310584258850915e-12,3.252374003286242e-12,2.7375215121950994e-12,2.1044585329693686e-10,1.9239765837902176e-14,0.743101075171768
4,5e-07,1129.9999988800864,101325.00000000001,0.03127362160870901,7.769898890625893e-12,0.22562530293482094,3.2502997248615355e-12,4.857259476523826e-12,4.897916779689883e-12,2.6389644295765087e-10,3.0123190832794123e-14,0.743101075171768
5,6e-07,1129.9999986604028,101325.0,0.031273621605101,9.346909334881946e-12,0.22562530287726473,4.267236217423285e-12,6.7000004992233505e-12,7.821948508548481e-12,3.176865763609999e-10,4.346567265778403e-14,0.743101075171768
6,7e-07,1129.9999984425008,101325.0,0.031273621601364515,1.094605161786329e-11,0.22562530281837176,5.350774971996118e-12,8.753563020645232e-12,1.1565367824741505e-11,3.7182053912288636e-10,5.928223392258839e-14,0.743101075171768
7,8e-07,1129.999998226479,101325.0,0.03127362159749038,1.2571263346663367e-11,0.2256253027581216,6.4942868001009075e-12,1.0996008279163704e-11,1.6177098673854603e-11,4.2630360516687955e-10,7.758811404592648e-14,0.743101075171768
8,9e-07,1129.999998012425,101325.00000000001,0.0312736215934704,1.4225897641418952e-11,0.22562530269649073,7.69344757989535e-12,1.340956114960076e-11,2.1701559158693177e-11,4.811418700848773e-10,9.839880388092082e-14,0.743101075171768
9,1e-06,1129.999997800427,101325.00000000001,0.03127362158929672,1.5913074774510033e-11,0.22562530263345312,8.944994831066183e-12,1.5979778798701974e-11,2.818053408310826e-11,5.36342039071443e-10,1.217300845525931e-13,0.743101075171768
10,1.1e-06,1129.9999975905641,101325.0,0.031273621584962205,1.7635443807384855e-11,0.2256253025689799,1.0246388031821242e-11,1.869496279662152e-11,3.565393096650599e-11,5.919115829316707e-10,1.4759806167810346e-13,0.743101075171768
11,1.2e-06,1129.9999973829147,101325.0,0.03127362158045997,1.9395483066943034e-11,0.22562530250304055,1.1595828865697096e-11,2.154575902962873e-11,4.4160050566928934e-11,6.478583863158658e-10,1.760191901442198e-13,0.743101075171768
12,1.2999999999999998e-06,1129.9999971775567,101325.0,0.03127362157578335,2.1195500471041223e-11,0.2256253024356024,1.2992144746463285e-11,2.452474285752382e-11,5.373603224528397e-11,7.041908950428002e-10,2.0701030176421304e-13,0.743101075171768
13,1.3999999999999997e-06,1129.9999969745668,101324.99999999999,0.03127362157092588,2.3037645025801828e-11,0.22562530236663098,1.4434643886590364e-11,2.7626201692867875e-11,6.441817535457772e-11,7.609180343450245e-10,2.405886207900119e-13,0.743101075171768
14,1.4999999999999996e-06,1129.9999967740202,101325.0,0.03127362156588127,2.4923908491951246e-11,0.2256253022960899,1.592294010450683e-11,3.084580794787669e-11,7.624235601895637e-11,8.180491929928051e-10,2.7677178949287213e-13,0.743101075171768
15,1.5999999999999995e-06,1129.9999965759912,101325.00000000001,0.03127362156064344,2.68561354719628e-11,0.22562530222394112,1.7457038719039313e-11,3.4180752305879874e-11,8.924384278475143e-11,8.755942263972235e-10,3.1557785856931405e-13,0.743101075171768
16,1.6999999999999994e-06,1129.999996380556,101325.0,0.03127362155520613,2.8836224754505873e-11,0.22562530215014542,1.903692309005618e-11,3.7628642222850026e-11,1.0345858519571104e-10,9.335632635727077e-10,3.570253759557793e-13,0.743101075171768
17,1.7999999999999993e-06,1129.9999961877897,101325.0,0.03127362154956329,3.0865899317228176e-11,0.22562530207466167,2.0662988658016325e-11,4.118853942834285e-11,1.1892195451033876e-10,9.919669467385787e-10,4.011333099575399e-13,0.743101075171768
18,1.8999999999999992e-06,1129.999995997768,101324.99999999999,0.03127362154370885,3.2946851849888806e-11,0.22562530199744713,2.2335581261696764e-11,4.48595885449002e-11,1.3567029143541206e-10,1.0508163193549669e-09,4.4792116909840424e-13,0.743101075171768
19,1.999999999999999e-06,1129.999995810568,101325.0,0.03127362153763667,3.5080769981223474e-11,0.22562530191845798,2.4055285039141215e-11,4.864178399358866e-11,1.537400288159756e-10,1.1101227216244934e-09,4.974089490768652e-13,0.743101075171768
20,2.099999999999999e-06,1129.999995626267,101325.0,0.03127362153134056,3.726932490351735e-11,0.22562530183764898,2.5822784925734012e-11,5.253554404294117e-11,1.731681632254534e-10,1.1698978493358486e-09,5.496171689093315e-13,0.743101075171768
21,2.199999999999999e-06,1129.9999954449463,101325.00000000001,0.03127362152481418,3.951421230227624e-11,0.22562530175497333,2.7638883579537554e-11,5.654165210479507e-11,1.9399234898867804e-10,1.2301538000310514e-09,6.045669114124742e-13,0.743101075171768
22,2.2999999999999987e-06,1129.9999952666865,101325.00000000001,0.03127362151805114,4.181710627830855e-11,0.2256253016703829,2.950450434716367e-11,6.066140766672442e-11,2.1625073371134147e-10,1.2909030226051218e-09,6.622797829703573e-13,0.743101075171768
23,2.3999999999999986e-06,1129.9999950915712,101325.0,0.031273621511044916,4.4179712502158575e-11,0.22562530158382813,3.142064174396988e-11,6.489633431178224e-11,2.399823402440059e-10,1.3521583365537456e-09,7.227779929232804e-13,0.743101075171768
24,2.4999999999999985e-06,1129.9999949196852,101325.00000000001,0.03127362150378885,4.660374897759246e-11,0.225625301495258,3.338836615811471e-11,6.924825065054877e-11,2.6522700934747376e-10,1.4139329292934524e-09,7.860843487321459e-13,0.743101075171768
25,2.5999999999999984e-06,1129.999994751115,101325.0,0.03127362149627618,4.9090951992696165e-11,0.22562530140462012,3.540882434130921e-11,7.371925387310653e-11,2.9202540400321983e-10,1.4762403569477335e-09,8.52222252973248e-13,0.743101075171768
26,2.6999999999999983e-06,1129.9999945859497,101325.0,0.03127362148850002,5.1643066003221405e-11,0.2256253013118606,3.748326342514112e-11,7.831180590805905e-11,3.2041887536832307e-10,1.5390945480558773e-09,9.21215676858217e-13,0.743101075171768
27,2.799999999999998e-06,1129.9999944242795,101324.99999999999,0.031273621480453276,5.426188335499808e-11,0.22562530121692387,3.961290406298393e-11,8.302821431921805e-11,3.5045033066268033e-10,1.6025098720779339e-09,9.930893876296075e-13,0.743101075171768
28,2.899999999999998e-06,1129.999994266197,101325.0,0.031273621472128796,5.694918776277757e-11,0.2256253011197531,4.179912251357543e-11,8.787138330267189e-11,3.8216297565166893e-10,1.6665010348020004e-09,1.067868616191527e-12,0.743101075171768
29,2.999999999999998e-06,1129.9999941117972,101325.0,0.031273621463519224,5.970682657073773e-11,0.22562530102028983,4.40433134261309e-11,9.284422238945776e-11,4.1560135127348385e-10,1.7310831456378684e-09,1.1455793477210202e-12,0.743101075171768
30,3.099999999999998e-06,1129.999993961178,101325.0,0.03127362145461689,6.253673404899364e-11,0.2256253009184741,4.634689084176436e-11,9.794963351680121e-11,4.508113909830018e-10,1.7962717048778665e-09,1.2262483485079508e-12,0.743101075171768
31,3.1999999999999977e-06,1129.9999938144394,101325.00000000001,0.03127362144541409,6.544083426381725e-11,0.2256253008142445,4.871136537510052e-11,1.0319087176471739e-10,4.878397105157896e-10,1.8620826071063765e-09,1.3099029472072454e-12,0.743101075171768
32,3.2999999999999976e-06,1129.9999936716838,101324.99999999999,0.031273621435902885,6.842108894002636e-11,0.22562530070753742,5.113827434346958e-11,1.0857122301538785e-10,5.267344183804311e-10,1.928532295865528e-09,1.3965713292724898e-12,0.743101075171768
33,3.3999999999999975e-06,1129.9999935330159,101325.0,0.031273621426075135,7.147951754904045e-11,0.22562530059828773,5.362920030942968e-11,1.1409407578198045e-10,5.675448047183914e-10,1.9956376132002334e-09,1.4862824010414068e-12,0.743101075171768
34,3.4999999999999974e-06,1129.9999933985441,101325.00000000001,0.03127362141592249,7.461819412354628e-11,0.22562530048642865,5.6185771009555775e-11,1.1976292171630556e-10,6.103214159338142e-10,2.06341583006787e-09,1.5790658316820644e-12,0.743101075171768
35,3.5999999999999973e-06,1129.9999932683786,101325.00000000001,0.03127362140543638,7.783925149321239e-11,0.22562530037189193,5.880969150793737e-11,1.2558152154033592e-10,6.551160180156179e-10,2.131884589177804e-09,1.6749521081866498e-12,0.743101075171768
36,3.699999999999997e-06,1129.999993142633,101325.0,0.031273621394608014,8.114487090253411e-11,0.22562530025460728,6.150268250568117e-11,1.315535861991279e-10,7.019818449175863e-10,2.2010620740776317e-09,1.7739725296022435e-12,0.743101075171768
37,3.799999999999997e-06,1129.9999930214237,101325.00000000001,0.031273621383428374,8.45372894158005e-11,0.22562530013450258,6.42665324346084e-11,1.376830294029241e-10,7.509734392065831e-10,2.2709669389905825e-09,1.8761592312942248e-12,0.743101075171768
38,3.899999999999997e-06,1129.9999929048704,101324.99999999999,0.0312736213718882,8.801879710377806e-11,0.22562530001150363,6.710309499132078e-11,1.439739467627741e-10,8.021466970648274e-10,2.341618360664386e-09,1.981545199889026e-12,0.743101075171768
39,3.999999999999997e-06,1129.9999927930955,101325.0,0.031273621359978,9.159175347216562e-11,0.22562529988553454,7.00142599731983e-11,1.5043048882225575e-10,8.555590219210815e-10,2.4130359677233097e-09,2.090164306120883e-12,0.743101075171768
40,4.099999999999997e-06,1129.999992686225,101325.0,0.031273621347688046,9.525856587044877e-11,0.2256252997565173,7.300197871931113e-11,1.5705695788007534e-10,9.112693127468338e-10,2.485239942938258e-09,2.2020513335646493e-12,0.743101075171768
41,4.199999999999997e-06,1129.9999925843879,101325.0,0.03127362133500833,9.902170826223722e-11,0.2256252996243718,7.60682582631885e-11,1.638577898451404e-10,9.693379684028136e-10,2.5582509890756877e-09,2.317241979623341e-12,0.743101075171768
42,4.299999999999997e-06,1129.9999924877163,101325.0,0.0312736213219286,1.0288371831610712e-10,0.22562529948901588,7.921515982561942e-11,1.7083754472442196e-10,1.0298269689226375e-09,2.632090354039786e-09,2.4357728957351855e-12,0.743101075171768
43,4.399999999999997e-06,1129.999992396347,101325.0,0.03127362130843836,1.0684719660180862e-10,0.22562529935036518,8.244478506067501e-11,1.7800086083333014e-10,1.092800070138371e-09,2.7067798658657237e-09,2.5576817802579706e-12,0.743101075171768
44,4.499999999999997e-06,1129.9999923104185,101325.0,0.03127362129452681,1.1091480966725717e-10,0.2256252992083331,8.57593101416335e-11,1.8535255828950197e-10,1.1583225014428623e-09,2.782341902831654e-09,2.6830072435700536e-12,0.743101075171768
45,4.599999999999997e-06,1129.9999922300742,101325.0,0.03127362128018288,1.150892910676295e-10,0.22562529906283085,8.916096476456663e-11,1.9289757213727597e-10,1.2264612248150981e-09,2.858799432995647e-09,2.8117889310379777e-12,0.743101075171768
46,4.6999999999999965e-06,1129.9999921554609,101324.99999999999,0.03127362126539523,1.1937344290729583e-10,0.2256252989137673,9.265203863251503e-11,2.0064097015115482e-10,1.2972849161060757e-09,2.936176020206282e-09,2.944067518259571e-12,0.743101075171768
