,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-2.5968984173357423e-05,1.2550405098014764e-05,-0.00042121915747477814,4.69897230159964e-06,5.29178633912221e-06,2.094828671343991e-06,0.00042251923140399254,3.291783406234903e-08,0.0
1,-2.6707814419573132e-05,1.2491350945679143e-05,-0.00043482048542211606,7.452303132038238e-06,9.639644370728554e-06,7.144359702812959e-06,0.0004247346587326763,6.598295775403447e-08,0.0
2,-2.774059068621055e-05,1.2578624664294943e-05,-0.0004484422830274473,9.264722564950117e-06,1.327665189549377e-05,1.401039805738857e-05,0.0004269532822406826,9.919429084784103e-08,0.0
3,-2.8990784818198055e-05,1.2769726734605971e-05,-0.00046221900000073106,1.060211608968445e-05,1.6372003983011863e-05,2.2136044696880802e-05,0.0004291973404469071,1.3255286783893553e-07,0.0
4,-3.0416004047967885e-05,1.3040358717848576e-05,-0.0004762491076596543,1.1683725908765892e-05,1.90528026007813e-05,3.123904444381861e-05,0.0004314831188040945,1.6606123231323283e-07,0.0
5,-3.1990456440554844e-05,1.337521257399852e-05,-0.0004906091744000972,1.2621599629603425e-05,2.1416905615200065e-05,4.116291154697503e-05,0.000433823278419903,1.9972305497201671e-07,0.0
6,-3.369757747384192e-05,1.3763990117211526e-05,-0.0005053631932081221,1.3477460065421974e-05,2.3541308705416272e-05,5.181606966906996e-05,0.0004362283992406972,2.3354288414706426e-07,0.0
7,-3.552664759315759e-05,1.4199597422960948e-05,-0.0005205662122390284,1.4285860765988161e-05,2.5486961608552527e-05,6.314533327155724e-05,0.0004387075807396578,2.6752602346931797e-07,0.0
8,-3.747072269408138e-05,1.467704350631162e-05,-0.0005362664478061769,1.5067401371854083e-05,2.7302094512098533e-05,7.512016113124582e-05,0.0004412687915387368,3.0167844001126357e-07,0.0
9,-3.952572644831913e-05,1.5192912426320735e-05,-0.0005525076352993798,1.5834128724074942e-05,2.9024759632436196e-05,8.772629591019498e-05,0.00044391925836450875,3.360066901633183e-07,0.0
10,-4.1689289206961954e-05,1.5744743613482256e-05,-0.0005693302711459535,1.659539144317021e-05,3.0685466748029815e-05,0.00010095776913860811,0.0004466656715329586,3.7051787666664355e-07,0.0
11,-4.396010432888082e-05,1.633072380396567e-05,-0.0005867711756991846,1.7359595619316337e-05,3.230863620882206e-05,0.00011481299209735285,0.00044951411266626486,4.052196323436929e-07,0.0
12,-4.633793013716536e-05,1.6949594176847904e-05,-0.0006048664721222701,1.8133958460957262e-05,3.391458289425262e-05,0.00012929559916419477,0.00045247054759253713,4.4011997064578083e-07,0.0
13,-4.882363016660791e-05,1.760065435711229e-05,-0.0006236520981218608,1.892357531480744e-05,3.552011764164709e-05,0.00014441524270391386,0.00045554091086373496,4.75227407253219e-07,0.0
14,-5.141896979417092e-05,1.828366677550623e-05,-0.0006431636140662338,1.9732004890788597e-05,3.713895810281383e-05,0.00016018632911525638,0.0004587310740614188,5.105509146207035e-07,0.0
15,-5.4126328349161056e-05,1.899872127195198e-05,-0.0006634359316269058,2.0562285526969016e-05,3.8782222188861306e-05,0.000176626130155866,0.0004620468009336158,5.460998988027836e-07,0.0
16,-5.6948541799602095e-05,1.9746141850729293e-05,-0.0006845037768571459,2.141738592306066e-05,4.045913189842758e-05,0.00019375395079420697,0.00046549382398767717,5.818842026463039e-07,0.0
17,-5.988893182753785e-05,2.0526470770839205e-05,-0.0007064026567036834,2.229991031220289e-05,4.217764527592969e-05,0.00021159164371028455,0.00046907800432368567,6.179141382793116e-07,0.0
18,-6.295107186069173e-05,2.1340364740665417e-05,-0.000729168440656372,2.3212886859402052e-05,4.3944750508572855e-05,0.00023016204748840918,0.0004728052624669772,6.542004530370417e-07,0.0
19,-6.613901951355108e-05,2.2188684779012837e-05,-0.0007528381974955922,2.415853296640904e-05,4.5766651292462516e-05,0.0002494908768741043,0.00047668171673757203,6.907543595824699e-07,0.0
20,-6.945710840659712e-05,2.3072411376509665e-05,-0.0007774495841621713,2.513907932823918e-05,4.7648820443008516e-05,0.0002696052117261571,0.0004807135821586806,7.275875361732907e-07,0.0
21,-7.29099756193594e-05,2.399264396027891e-05,-0.0008030412984785504,2.615648128941699e-05,4.9596311825482005e-05,0.0002905338795607338,0.0004849072453296737,7.647121323242535e-07,0.0
22,-7.650267212478464e-05,2.4950619070299682e-05,-0.0008296542549587593,2.721269194973158e-05,5.16139341552519e-05,0.0003123080822346131,0.000489269458846876,8.021408267715762e-07,0.0
23,-8.024048049511409e-05,2.594765232388044e-05,-0.000857330533715867,2.830963774151407e-05,5.3706323922003414e-05,0.000334960345957571,0.000493807167457737,8.398868082750561e-07,0.0
24,-8.412899910064762e-05,2.6985179203530656e-05,-0.0008861134220872435,2.944918158711728e-05,5.587765485839046e-05,0.0003585249268281339,0.0004985275148511236,8.779638595953081e-07,0.0
25,-8.817409099514528e-05,2.806471215792141e-05,-0.0009160479651202855,3.063326053899402e-05,5.8132122661123654e-05,0.00038303763969232534,0.0005034379347859706,9.163862790957774e-07,0.0
26,-9.238185600045603e-05,2.9187840751225757e-05,-0.0009471805177545333,3.1863918689662155e-05,6.047375828789716e-05,0.0004085356101357422,0.0005085460769774414,9.55168913020535e-07,0.0
27,-9.675868696520439e-05,3.0356240460546743e-05,-0.0009795593584805212,3.314317341941924e-05,6.29066541017982e-05,0.00043505774172078546,0.0005138599085109981,9.943272321778465e-07,0.0
28,-0.00010131121544710751,3.157165401668943e-05,-0.0010132344195215664,3.4473169175252414e-05,6.543493715449617e-05,0.0004626443280852982,0.0005193876692358519,1.0338773010856171e-06,0.0
29,-0.00010604640238527775,3.2835918296556275e-05,-0.0010482578722967478,3.585602261517921e-05,6.806285095350357e-05,0.0004913376784499765,0.0005251379684959609,1.0738358708491112e-06,0.0
30,-0.00011097148290083314,3.415094479042291e-05,-0.0010846838713349943,3.7293941649835855e-05,7.079475723247265e-05,0.0005211817474214674,0.0005311197427901393,1.1142203514890763e-06,0.0
31,-0.00011609402131612863,3.551873867244899e-05,-0.001122568822151654,3.878918465015041e-05,7.363510553440845e-05,0.0005522224657334175,0.0005373423000096853,1.1550488676719685e-06,0.0
32,-0.00012142188557103905,3.694138924359447e-05,-0.0011619712785530146,4.034410184865579e-05,7.658845058903286e-05,0.0005845075797442659,0.0005438153024419676,1.1963402565370346e-06,0.0
33,-0.00012696327610270587,3.842107776586782e-05,-0.0012029521523099541,4.196112317649452e-05,7.965947549580212e-05,0.0006180868364708911,0.0005505488013940681,1.2381141095360978e-06,0.0
34,-0.000132726718098482,3.996007431542017e-05,-0.0012455746900785164,4.364276938730017e-05,8.285300271233716e-05,0.0006530119376296743,0.0005575532333349634,1.2803907973030074e-06,0.0
