,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-5.7982605673615414e-06,2.8257010609415325e-06,-9.37229266982476e-05,6.969374436689906e-07,7.972381763931876e-07,2.9126081479502106e-07,9.490606186495103e-05,3.987904859364013e-09,0.0
1,-5.898086216568324e-06,2.8031435926772397e-06,-9.602342605102389e-05,1.1033804325071346e-06,1.4777668644222511e-06,9.96455502959233e-07,9.553276441288628e-05,8.001462140072925e-09,0.0
2,-6.0372337427331386e-06,2.8005585072471e-06,-9.831403842773004e-05,1.3663953838717896e-06,2.0642928104143726e-06,1.951255613524915e-06,9.615672940974314e-05,1.204044566184813e-08,0.0
3,-6.205150200205536e-06,2.812226566892552e-06,-0.0001006088189695684,1.554654988486391e-06,2.5741284403687997e-06,3.075044008214897e-06,9.678181035122199e-05,1.6104814589286156e-08,0.0
4,-6.395846386575827e-06,2.8348355236772246e-06,-0.0001029178510564264,1.701489174481591e-06,3.020914197067837e-06,4.325492219950389e-06,9.741077165457279e-05,2.019467325239191e-08,0.0
5,-6.605561026286689e-06,2.8662539731548543e-06,-0.00010524909502170121,1.824281918159121e-06,3.4157814800401258e-06,5.678232887788001e-06,9.804579556131454e-05,2.4310227531259578e-08,0.0
6,-6.8317701530436e-06,2.905008660087713e-06,-0.00010760925747877073,1.9324942160047784e-06,3.7679883877646654e-06,7.1183641040575946e-06,9.868872050113251e-05,2.84517627670588e-08,0.0
7,-7.072776805206611e-06,2.9500756628844895e-06,-0.00011000390760801684,2.03086489976216e-06,4.085106289735144e-06,8.636944942632129e-06,9.934107297805482e-05,3.2619640154719575e-08,0.0
8,-7.327349282137908e-06,3.000691079210433e-06,-0.00011243774515820239,2.121991174033796e-06,4.373389004497387e-06,1.0228067837753577e-05,0.00010000414106307199,3.681428177314098e-08,0.0
9,-7.594524351588049e-06,3.0562357430048715e-06,-0.00011491513649776804,2.2078146597897775e-06,4.638149865695313e-06,1.1887303048168531e-05,0.00010067912137728634,4.103615541125762e-08,0.0
10,-7.873527190805109e-06,3.116206303512508e-06,-0.00011743976198727819,2.289852266854157e-06,4.883776628914332e-06,1.3611145791070896e-05,0.00010136702240160707,4.528578612434442e-08,0.0
11,-8.163752231654565e-06,3.1801924643934784e-06,-0.00012001503447528903,2.3692981415539285e-06,5.1139899654752155e-06,1.539696316453171e-05,0.00010206877924076839,4.956373022088612e-08,0.0
12,-8.464747920982185e-06,3.247868648823216e-06,-0.0001226441219979653,2.446987843181376e-06,5.331933285430568e-06,1.724294971939083e-05,0.00010278525983806022,5.3870584061258124e-08,0.0
13,-8.77616648941168e-06,3.3189670534737207e-06,-0.00012533000588394334,2.523573292167931e-06,5.540321759552823e-06,1.914782237828416e-05,0.00010351728091308478,5.820697679160861e-08,0.0
14,-9.09780500999538e-06,3.3932999544556523e-06,-0.0001280754243574196,2.5993894750697537e-06,5.7413110415010896e-06,2.11110628264033e-05,0.00010426559249558782,6.25735743973632e-08,0.0
15,-9.429474004434249e-06,3.4706916133883087e-06,-0.00013088294862992036,2.674921877308465e-06,5.936840672950609e-06,2.3132098603638656e-05,0.00010503089879650111,6.69710705674338e-08,0.0
16,-9.771125043394904e-06,3.5510418523490823e-06,-0.0001337549900492883,2.7503471769528377e-06,6.128347744507817e-06,2.5211117964224627e-05,0.00010581386016216061,7.140019248820628e-08,0.0
