,t[s],T[K],P[Pa],H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,1e-07,1190.9434745016622,101325.0,0.03067713520193517,5.286485153771159e-12,0.22576423021421402,9.954594194693946e-13,1.0672343623461084e-12,3.015574494992072e-13,1.7570702451558255e-10,6.7181623756633585e-15,0.7435586344004863
1,2e-07,1190.943473740389,101325.0,0.030677135190976174,1.0508700855230359e-11,0.22576423003617027,3.379953246986502e-12,4.007474682079736e-12,2.0822602894346137e-12,3.5236191135716024e-10,2.6909633462640316e-14,0.7435586344004863
2,3e-07,1190.9434729821555,101325.0,0.030677135179660375,1.5739254797804835e-11,0.22576422985272804,6.60377539582162e-12,8.493761920921273e-12,6.2678977877871705e-12,5.299598786716706e-10,6.063873550527254e-14,0.7435586344004863
3,4e-07,1190.943472228143,101325.0,0.030677135167888732,2.102657258469609e-11,0.2257642296638526,1.040495023689806e-11,1.4278744970404402e-11,1.3447054149288843e-11,7.085070078311873e-10,1.0796811305716394e-13,0.7435586344004863
4,5e-07,1190.9434714791748,101325.0,0.030677135155585806,2.6405914456675126e-11,0.2257642294694658,1.465085321515464e-11,2.1173473073933052e-11,2.4045772973722633e-11,8.880170683885057e-10,1.689611437449499e-13,0.7435586344004863
5,6e-07,1190.943470735899,101325.0,0.03067713514268902,3.1905101915225535e-11,0.22576422926945774,1.9268211582753753e-11,2.903253204766524e-11,3.840793406767375e-11,1.06850946794013e-09,2.4368244369057035e-13,0.7435586344004863
6,7e-07,1190.9434699988537,101325.0,0.030677135129144367,3.754685604768859e-11,0.2257642290636922,2.4215979690357837e-11,3.774515819373043e-11,5.6828719068171175e-11,1.2500082736374238e-09,3.3219823711494236e-13,0.7435586344004863
7,8e-07,1190.9434692685202,101325.0,0.030677135114902908,4.335066519307403e-11,0.2257642288520114,2.946878056534061e-11,4.722726530900606e-11,7.957680966960336e-11,1.4325413677615157e-09,4.3457670235500064e-13,0.7435586344004863
8,9e-07,1190.9434685453393,101324.99999999999,0.030677135099919293,4.933365184481823e-11,0.22576422863423895,3.501096357438153e-11,5.741580853728594e-11,1.0690433750902293e-10,1.6161399401079019e-09,5.508882458311931e-13,0.7435586344004863
9,1e-06,1190.9434678297268,101324.99999999999,0.030677135084150632,5.551116802836606e-11,0.22576422841018148,4.0833622618831936e-11,6.826485595768577e-11,1.3905273111429988e-10,1.800838185698363e-09,6.812057195389975e-13,0.7435586344004863
