,t[s],T[K],P[Pa],H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,1e-07,1299.9999950609574,101325.00000000003,0.028511625206648558,3.375779730517731e-11,0.2262685964976917,1.0264402370325141e-11,1.0787970821785342e-11,3.37413106793695e-12,1.1258824792210197e-09,9.211622331212459e-14,0.7452197771115008
1,2e-07,1299.999990115548,101325.00000000001,0.028511625134969,6.718927175755859e-11,0.22626859533189714,3.464736671962333e-11,3.9621220235914775e-11,2.364152390361095e-11,2.2561648125879656e-09,3.6855222610981203e-13,0.7452197771115008
2,3e-07,1299.9999851848188,101325.00000000001,0.02851162505907111,1.0112482633205276e-10,0.22626859411515113,6.772481756750681e-11,8.25442078183662e-11,7.119058637942368e-11,3.390862581597434e-09,8.294468359713916e-13,0.7452197771115008
3,4e-07,1299.999980281653,101325.00000000001,0.028511624977782462,1.3611276266490666e-10,0.22626859284625006,1.0701675831716182e-10,1.3689456566820466e-10,1.5288303146375252e-10,4.530084048034695e-09,1.4749471562851344e-12,0.7452197771115008
4,5e-07,1299.999975414991,101325.00000000001,0.02851162489018485,1.7255192333924328e-10,0.22626859152328146,1.5134601782215965e-10,2.0089105205588815e-10,2.7393639632216663e-10,5.6740017672647506e-09,2.305223160155878e-12,0.7452197771115008
5,6e-07,1299.999970591766,101325.00000000003,0.028511624795493937,2.107574120506374e-10,0.2262685901437991,2.001417108437205e-10,2.7336367416590504e-10,4.3878583620952324e-10,6.822836683861031e-09,3.320476699446318e-12,0.7452197771115008
6,7e-07,1299.999965817818,101325.00000000001,0.028511624692997367,2.509945669853304e-10,0.22626858870491953,2.5314513374261034e-10,3.535790769454301e-10,6.514925507029869e-10,7.976849360390242e-09,4.5209485484032425e-12,0.7452197771115008
7,8e-07,1299.9999610984003,101325.0,0.028511624582017784,2.9349934405748983e-10,0.22626858720338205,3.102771573449155e-10,4.411241486307881e-10,9.159573302571218e-10,9.136334522073757e-09,5.906924037838657e-12,0.7452197771115008
8,9e-07,1299.9999564384339,101325.00000000001,0.028511624461891295,3.3849002877534733e-10,0.2262685856355789,3.715645341547853e-10,5.358155820918847e-10,1.236062153990427e-09,1.0301618321792706e-08,7.478738466684721e-12,0.7452197771115008
9,1e-06,1299.9999518427205,101325.0,0.028511624331949904,3.8617690353977493e-10,0.22626858399758304,4.3710221659732016e-10,6.376358896468318e-10,1.6157594142647495e-09,1.1473055800665085e-08,9.2367821691419e-12,0.7452197771115008
10,1.1e-06,1299.999947316109,101324.99999999999,0.028511624191507202,4.3676943294477593e-10,0.22626858228514934,5.070451969563939e-10,7.467017145114153e-10,2.0591140618832113e-09,1.2651030779805512e-08,1.118150465816728e-11,0.7452197771115008
11,1.2e-06,1299.9999428635083,101325.00000000001,0.02851162403985473,4.904781013954599e-10,0.226268580493715,5.815929567031493e-10,8.632338596603388e-10,2.5703546940803967e-09,1.3835955803514081e-08,1.3313419119366324e-11,0.7452197771115008
12,1.2999999999999998e-06,1299.9999384899752,101325.00000000001,0.028511623876253712,5.475183478900106e-10,0.22626857861839345,6.609785451829793e-10,9.875333317904425e-10,3.1539151536576036e-09,1.5028272706097307e-08,1.5633107114801242e-11,0.7452197771115008
13,1.3999999999999997e-06,1299.9999342007732,101325.00000000001,0.028511623699928643,6.081135372144475e-10,0.2262685766539666,7.454632343869988e-10,1.1199647892273349e-09,3.814467005349714e-09,1.6228453271291174e-08,1.8141223229972466e-11,0.7452197771115008
14,1.4999999999999996e-06,1299.9999300014274,101325.00000000001,0.028511623510061833,6.724972233729566e-10,0.2262685745948705,8.353388155697185e-10,1.2609519686327418e-09,4.55693895061636e-09,1.7437000574521917e-08,2.0838499754996776e-11,0.7452197771115008
15,1.5999999999999995e-06,1299.999925897769,101325.00000000003,0.028511623305788148,7.409152187504398e-10,0.22626857243517715,9.309253726294503e-10,1.4109723375086881e-09,5.386543521297291e-09,1.8654450578970836e-08,2.3725751688262354e-11,0.7452197771115008
16,1.6999999999999994e-06,1299.9999218959415,101325.00000000001,0.028511623086192574,8.136262353509595e-10,0.22626857016857643,1.032567016383904e-09,1.5705497801825325e-09,6.3088077550753134e-09,1.9881373792199417e-08,2.6803882060270152e-11,0.7452197771115008
17,1.7999999999999993e-06,1299.999918002446,101325.00000000003,0.028511622850305274,8.909037410197826e-10,0.22626856778835663,1.1406329918294531e-09,1.7402525897308568e-09,7.3295956188395516e-09,2.1118377019370434e-08,3.0073887453276307e-11,0.7452197771115008
